Id, Open, Close, High, Low, Volume, Name, Date
263,61.762,64.538,64.948,61.7,34981160,$TSLA,07/17/18-2018
264,65.0,64.77,65.1,63.25,28121055,$TSLA,07/18/18-2018
265,63.266,64.046,64.708,62.802,29576725,$TSLA,07/19/18-2018
266,64.246,62.716,64.648,62.34186,25832735,$TSLA,07/20/18-2018
267,60.368,60.64,61.1,58.57202,54964735,$TSLA,07/23/18-2018
268,60.88418,59.486,61.54342,58.50904,47953920,$TSLA,07/24/18-2018
269,59.348,61.748,61.924,58.9005,35470900,$TSLA,07/25/18-2018
270,60.97,61.33,62.14,60.72822,23152610,$TSLA,07/26/18-2018
271,61.45,59.436,61.53866,59.06808,28516630,$TSLA,07/27/18-2018
272,59.18,58.034,59.22,57.226,34070360,$TSLA,07/30/18-2018
273,58.45,59.628,59.664,57.814,25384580,$TSLA,07/31/18-2018
274,59.598,60.168,60.6,58.6,50647150,$TSLA,08/01/18-2018
275,65.688,69.908,69.998,64.632,116074810,$TSLA,08/02/18-2018
276,69.562,69.634,71.0,68.506,68282430,$TSLA,08/03/18-2018
277,69.092,68.398,70.996,68.364,42821655,$TSLA,08/06/18-2018
278,68.768,75.914,77.492,67.83002,154378840,$TSLA,08/07/18-2018
279,73.818,74.068,76.528,73.424,122855815,$TSLA,08/08/18-2018
280,73.11,70.49,73.402,69.146,85919055,$TSLA,08/09/18-2018
281,70.8,71.098,72.0,69.2,57760220,$TSLA,08/10/18-2018
282,72.226,71.282,72.638,69.804,52319405,$TSLA,08/13/18-2018
283,71.69,69.528,71.8399,69.42,34932135,$TSLA,08/14/18-2018
284,68.38118,67.738,68.898,66.428,45506290,$TSLA,08/15/18-2018
285,67.982,67.09,68.456,66.764,30320165,$TSLA,08/16/18-2018
286,64.7,61.1,65.354,60.706,94793060,$TSLA,08/17/18-2018
287,58.3407,61.688,61.7,57.64,87011675,$TSLA,08/20/18-2018
288,62.122,64.38,64.958,61.8,65861150,$TSLA,08/21/18-2018
289,64.174,64.328,64.776,62.934,29729775,$TSLA,08/22/18-2018
290,63.828,64.02,65.464,63.62,25736430,$TSLA,08/23/18-2018
291,64.14,64.564,64.77,63.88,18012820,$TSLA,08/24/18-2018
292,63.6,63.854,64.487,61.762,65396440,$TSLA,08/27/18-2018
293,63.682,62.372,63.776,62.238,38245455,$TSLA,08/28/18-2018
294,62.054,61.002,62.37,60.738,37236960,$TSLA,08/29/18-2018
295,60.452,60.63,60.92,59.544,36083530,$TSLA,08/30/18-2018
296,60.4,60.332,61.06164,59.72,26875520,$TSLA,08/31/18-2018
297,59.388,57.79,59.638,57.6,41752345,$TSLA,09/04/18-2018
298,57.01,56.148,57.356,55.436,38604105,$TSLA,09/05/18-2018
299,56.96,56.19,58.234,55.776,37403800,$TSLA,09/06/18-2018
300,52.02,52.648,53.67,50.45096,112459655,$TSLA,09/07/18-2018
301,54.652,57.1,57.206,54.2,71417640,$TSLA,09/10/18-2018
