ticker: ['CSCO', 'V', 'MRK', 'AXP', 'MSFT']
Day,Open,Close,High,Low,Volume,SYM,Date
288,294.29,289.86,295.66,287.165,32369655,$MSFT,03/04/22-2022
289,288.53,278.91,289.69,278.53,43157178,$MSFT,03/07/22-2022
290,277.8,275.85,283.96,270.0,48159475,$MSFT,03/08/22-2022
291,283.44,288.5,289.6,280.78,35204480,$MSFT,03/09/22-2022
292,283.02,285.59,286.6,280.58,30628012,$MSFT,03/10/22-2022
293,287.96,280.07,289.51,279.43,27209330,$MSFT,03/11/22-2022
294,280.34,276.44,285.3992,275.82,30660747,$MSFT,03/14/22-2022
295,280.35,287.15,287.82,278.725,34245085,$MSFT,03/15/22-2022
296,289.11,294.39,294.57,283.2,37826329,$MSFT,03/16/22-2022
297,293.29,295.22,295.61,289.37,30816633,$MSFT,03/17/22-2022
298,295.37,300.43,301.0,292.73,43390625,$MSFT,03/18/22-2022
299,298.89,299.16,300.14,294.9,28351245,$MSFT,03/21/22-2022
300,299.8,304.06,305.0,298.77,27599689,$MSFT,03/22/22-2022
301,300.51,299.49,303.23,297.7201,25715377,$MSFT,03/23/22-2022
302,299.14,304.1,304.2,298.315,24484456,$MSFT,03/24/22-2022
303,305.23,303.68,305.5,299.2855,22566453,$MSFT,03/25/22-2022
304,304.33,310.7,310.8,304.33,29578188,$MSFT,03/28/22-2022
305,313.91,315.41,315.82,309.05,30393403,$MSFT,03/29/22-2022
306,313.76,313.86,315.95,311.58,28163555,$MSFT,03/30/22-2022
307,313.9,308.31,315.14,307.89,33422070,$MSFT,03/31/22-2022
308,309.37,309.42,310.13,305.54,27110529,$MSFT,04/01/22-2022
309,310.09,314.97,315.11,309.71,24335868,$MSFT,04/04/22-2022
310,313.27,310.88,314.865,309.87,23156719,$MSFT,04/05/22-2022
311,305.19,299.5,307.0,296.71,40110372,$MSFT,04/06/22-2022
312,296.66,301.37,303.65,296.35,31411155,$MSFT,04/07/22-2022
313,300.44,296.97,301.12,296.28,24361917,$MSFT,04/08/22-2022
314,291.79,285.26,292.61,285.0,34569264,$MSFT,04/11/22-2022
---,---,---,---,---,--,---,---,----
